scheme,pulse_id,type,mask_size,zeros_enforced,spectral_subtraction,mag_mae,phase_mae,unified_mae,mag_diff,phase_diff,unified_diff
thg-ifrog,2,peak_energy,0.01,False,True,0.012120400028906282,0.810577532563315,0.016412460487731033,-0.0037823224802883745,0.44891529870808694,-0.0007905438317831054
thg-ifrog,2,peak_energy,0.05,False,False,0.014571520059843347,0.8151138140948485,0.018601333125815835,0.007785198477964899,0.46174923633536297,0.009079974042301237
thg-ifrog,2,peak_energy,0.05,False,True,0.014696049825823135,0.8363352556267362,0.018838549002391868,-0.0012066726833715215,0.4746730217715081,0.0016355446828777293
thg-ifrog,2,peak_energy,0.1,False,False,0.00936045907882774,0.7290578230119416,0.014373730024982758,0.0025741374969492914,0.375693245252456,0.00485237094146816
thg-ifrog,2,peak_energy,0.1,False,True,0.013381553700677106,0.7228379202191585,0.017680458027532486,-0.0025211688085175505,0.36117568636393044,0.000477453708018348
thg-ifrog,3,unmasked,0.0,False,False,0.008719978344205292,0.0991273335493736,0.00957874269373966,0.0,0.0,0.0
thg-ifrog,3,unmasked,0.0,False,True,0.01550659785155007,0.20514511905482768,0.016623684288572707,0.0,0.0,0.0
thg-ifrog,3,unmasked,0.0,True,False,0.0037369152408580995,0.10014165958009205,0.004741688886271068,0.0,0.0,0.0
thg-ifrog,3,unmasked,0.0,True,True,0.006143969158362605,0.2063265767705721,0.007762974847485602,0.0,0.0,0.0
thg-ifrog,3,peak_energy,0.01,False,False,0.011405267329249288,0.7110438254961069,0.01652534878743454,0.0026852889850439952,0.6119164919467333,0.006946606093694879
thg-ifrog,3,peak_energy,0.01,False,True,0.011326332734991318,0.9576615979135303,0.016919034101400283,-0.004180265116558753,0.7525164788587027,0.0002953498128275764
thg-ifrog,3,peak_energy,0.05,False,False,0.00937462674962911,0.24157140436928,0.011225533033532744,0.0006546484054238168,0.1424440708199064,0.001646790339793083
thg-ifrog,3,peak_energy,0.05,False,True,0.0066434531697694464,0.2415622504921909,0.008781423312935124,-0.008863144681780625,0.03641713143736322,-0.007842260975637583
thg-ifrog,3,peak_energy,0.1,False,False,0.003124443666777103,0.08846616317655633,0.00415789276875854,-0.005595534677428189,-0.010661170372817275,-0.0054208499249811205
thg-ifrog,3,peak_energy,0.1,False,True,0.0041626780921696725,0.11817402674550768,0.0054623057544357905,-0.011343919759380398,-0.08697109230932,-0.011161378534136917
thg-ifrog,4,unmasked,0.0,False,False,0.002308382314261728,0.12527096217811198,0.002777761529463722,0.0,0.0,0.0
thg-ifrog,4,unmasked,0.0,False,True,0.009364996777754424,0.26132931816639643,0.00990184990107582,0.0,0.0,0.0
